,BatchSize,LearningRate,WeightDecay,KernelSize,Pool,Bias,OutActivation,Channels,RMSE
ExpNumber4,100,0.0001,1e-05,3,2,1,Identity,"[1, 16, 16, 32, 64, 128, 64, 32, 16, 1]",6.4726787
ExpNumber5,100,1e-05,1e-05,3,2,1,Identity,"[1, 16, 16, 32, 64, 128, 64, 32, 16, 1]",6.508028
ExpNumber15,100,0.001,1e-05,3,2,1,Identity,"[1, 32, 32, 64, 128, 256, 128, 64, 32, 1]",6.557135
ExpNumber14,100,0.001,1e-05,3,2,1,Identity,"[1, 8, 8, 16, 32, 64, 32, 16, 8, 1]",6.5718884
ExpNumber12,100,0.001,1e-05,3,2,0,Identity,"[1, 16, 16, 32, 64, 128, 64, 32, 16, 1]",6.604232
ExpNumber13,100,0.001,1e-05,3,2,1,SiLU,"[1, 16, 16, 32, 64, 128, 64, 32, 16, 1]",9.037153
ExpNumber0,100,0.001,1e-05,3,2,1,Identity,"[1, 16, 16, 32, 64, 128, 64, 32, 16, 1]",9.0404
ExpNumber3,1000,0.001,1e-05,3,2,1,Identity,"[1, 16, 16, 32, 64, 128, 64, 32, 16, 1]",9.041578
ExpNumber9,100,0.001,1e-05,7,2,1,Identity,"[1, 16, 16, 32, 64, 128, 64, 32, 16, 1]",9.041672
ExpNumber7,100,0.001,0.0,3,2,1,Identity,"[1, 16, 16, 32, 64, 128, 64, 32, 16, 1]",9.043033
ExpNumber8,100,0.001,1e-05,5,2,1,Identity,"[1, 16, 16, 32, 64, 128, 64, 32, 16, 1]",9.043465
ExpNumber2,500,0.001,1e-05,3,2,1,Identity,"[1, 16, 16, 32, 64, 128, 64, 32, 16, 1]",9.044796
ExpNumber1,10,0.001,1e-05,3,2,1,Identity,"[1, 16, 16, 32, 64, 128, 64, 32, 16, 1]",9.047116
ExpNumber6,100,0.001,1e-06,3,2,1,Identity,"[1, 16, 16, 32, 64, 128, 64, 32, 16, 1]",9.052389
ExpNumber11,100,0.001,1e-05,3,3,1,Identity,"[1, 16, 16, 32, 64, 128, 64, 32, 16, 1]",9.055369
ExpNumber10,100,0.001,1e-05,9,2,1,Identity,"[1, 16, 16, 32, 64, 128, 64, 32, 16, 1]",9.173222
